epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1390.2,1.70777,1.20095,1.19143,0.89311,0.86977,0.87218,0.42536,1.82369,1.03534,1.21917,0.00123566,0.00123566,0.00123566
43,1422.65,1.69831,1.19816,1.18902,0.83787,0.88799,0.90328,0.43029,1.70172,1.03601,1.17645,0.00123094,0.00123094,0.00123094
44,1455.29,1.70359,1.20294,1.19005,0.83424,0.8903,0.88696,0.45106,1.67062,1.02581,1.16426,0.00122622,0.00122622,0.00122622
45,1488.26,1.70749,1.20371,1.18918,0.76794,0.80044,0.84796,0.41184,1.698,1.11189,1.16913,0.00122151,0.00122151,0.00122151
46,1521.04,1.68991,1.19232,1.18538,0.84084,0.87353,0.89298,0.45308,1.64985,0.98276,1.1522,0.00121679,0.00121679,0.00121679
47,1553.62,1.69605,1.19685,1.18762,0.81112,0.83832,0.88083,0.44721,1.68478,1.03146,1.17236,0.00121208,0.00121208,0.00121208
48,1586.89,1.69316,1.18926,1.1856,0.85238,0.81425,0.80976,0.34671,1.88828,1.1895,1.25305,0.00120736,0.00120736,0.00120736
49,1619.53,1.68104,1.17854,1.18129,0.82649,0.84592,0.86449,0.43763,1.70324,1.02905,1.17119,0.00120265,0.00120265,0.00120265
50,1652.15,1.68671,1.18005,1.18231,0.7974,0.85474,0.86375,0.43052,1.6566,1.04258,1.15655,0.00119793,0.00119793,0.00119793
51,1684.76,1.69382,1.18197,1.18124,0.82077,0.8604,0.89125,0.45878,1.65772,0.99763,1.1525,0.00119322,0.00119322,0.00119322
52,1717.35,1.69021,1.19751,1.18466,0.85656,0.87646,0.89698,0.44426,1.73235,0.98996,1.18798,0.0011885,0.0011885,0.0011885
53,1749.85,1.68529,1.18514,1.18356,0.82988,0.85135,0.89502,0.44596,1.67046,1.00981,1.16112,0.00118378,0.00118378,0.00118378
54,1782.2,1.6823,1.18231,1.18043,0.85892,0.87756,0.91527,0.47579,1.67865,0.97803,1.15591,0.00117907,0.00117907,0.00117907
55,1814.81,1.68197,1.18304,1.17973,0.80709,0.85572,0.8794,0.44114,1.72599,1.00925,1.17478,0.00117435,0.00117435,0.00117435
56,1847.72,1.67856,1.18295,1.18112,0.86199,0.86479,0.89383,0.46704,1.68792,1.0219,1.16584,0.00116964,0.00116964,0.00116964
57,1880.82,1.67886,1.17349,1.17818,0.8433,0.84769,0.88324,0.44804,1.66232,1.04475,1.16952,0.00116492,0.00116492,0.00116492
58,1914.03,1.67109,1.17146,1.17623,0.84133,0.88716,0.90401,0.46451,1.6455,1.00928,1.14858,0.00116021,0.00116021,0.00116021
59,1946.64,1.6758,1.17972,1.17929,0.78464,0.81371,0.86697,0.44168,1.66606,1.06621,1.16358,0.00115549,0.00115549,0.00115549
60,1979.21,1.68063,1.17372,1.18182,0.90069,0.8808,0.91391,0.4818,1.63559,0.97957,1.15429,0.00115077,0.00115077,0.00115077
61,2012.18,1.67983,1.17212,1.1804,0.72823,0.79064,0.81843,0.39669,1.67824,1.12819,1.17257,0.00114606,0.00114606,0.00114606
62,2044.62,1.67048,1.17531,1.17886,0.82405,0.85543,0.89252,0.46105,1.59487,1.01,1.1374,0.00114134,0.00114134,0.00114134
63,2077.54,1.6736,1.16431,1.17736,0.81515,0.86277,0.87832,0.43704,1.67095,1.04445,1.15942,0.00113663,0.00113663,0.00113663
64,2109.68,1.67129,1.17451,1.1769,0.86409,0.89369,0.90814,0.47297,1.64867,1.00159,1.1469,0.00113191,0.00113191,0.00113191
65,2142.92,1.6674,1.16718,1.17526,0.85908,0.88363,0.91225,0.48207,1.65676,0.9673,1.14947,0.0011272,0.0011272,0.0011272
66,2176.28,1.66426,1.16441,1.17524,0.83055,0.85983,0.87726,0.46248,1.63069,1.03237,1.14659,0.00112248,0.00112248,0.00112248
67,2209.2,1.67294,1.16449,1.17771,0.85691,0.86759,0.8977,0.45838,1.63992,1.00283,1.15009,0.00111776,0.00111776,0.00111776
68,2241.42,1.66475,1.16303,1.17751,0.8466,0.88904,0.89203,0.45187,1.61655,0.98188,1.14234,0.00111305,0.00111305,0.00111305
69,2274.22,1.66536,1.17143,1.17527,0.79951,0.81986,0.84313,0.42439,1.62349,1.03493,1.14672,0.00110833,0.00110833,0.00110833
70,2307.06,1.66277,1.16221,1.17556,0.85341,0.88085,0.90287,0.46497,1.6013,1.00083,1.14554,0.00110362,0.00110362,0.00110362
71,2339.73,1.667,1.16615,1.17802,0.79548,0.85158,0.87843,0.45177,1.62498,0.9948,1.14339,0.0010989,0.0010989,0.0010989
72,2371.95,1.66777,1.17381,1.17532,0.79786,0.87051,0.87742,0.45802,1.64411,1.00988,1.15099,0.00109419,0.00109419,0.00109419
73,2405.14,1.66911,1.16234,1.17494,0.84234,0.87215,0.8715,0.44117,1.61105,1.01759,1.14772,0.00108947,0.00108947,0.00108947
74,2437.84,1.66039,1.1576,1.17248,0.83694,0.86672,0.8836,0.44421,1.66767,1.05768,1.17038,0.00108475,0.00108475,0.00108475
75,2470.63,1.66475,1.15908,1.17525,0.77632,0.84541,0.87564,0.45052,1.60046,1.02905,1.14025,0.00108004,0.00108004,0.00108004
76,2503.33,1.66788,1.16008,1.17663,0.78701,0.86536,0.86529,0.44827,1.61659,1.04905,1.14555,0.00107532,0.00107532,0.00107532
77,2536.41,1.65881,1.1515,1.17361,0.86675,0.86853,0.90399,0.46658,1.59543,1.00404,1.13875,0.00107061,0.00107061,0.00107061
78,2568.95,1.6606,1.15859,1.17559,0.85542,0.8869,0.91107,0.46861,1.64691,0.97262,1.15362,0.00106589,0.00106589,0.00106589
79,2601.65,1.65626,1.15354,1.17294,0.81101,0.84945,0.87333,0.45375,1.62376,0.99603,1.14364,0.00106118,0.00106118,0.00106118
80,2634.23,1.65451,1.14815,1.16903,0.82499,0.87476,0.89153,0.46538,1.63107,0.9932,1.14312,0.00105646,0.00105646,0.00105646
81,2667.18,1.65294,1.14652,1.17041,0.82832,0.85836,0.90036,0.4739,1.65886,0.98914,1.1484,0.00105174,0.00105174,0.00105174
82,2699.98,1.6557,1.14867,1.16824,0.86635,0.87125,0.88009,0.4376,1.66599,1.05313,1.1544,0.00104703,0.00104703,0.00104703
83,2732.83,1.65153,1.14903,1.1724,0.81351,0.88031,0.86715,0.45319,1.61606,1.02033,1.15147,0.00104231,0.00104231,0.00104231
84,2765.71,1.65101,1.15203,1.17079,0.84586,0.87198,0.88739,0.47407,1.5925,1.00524,1.13492,0.0010376,0.0010376,0.0010376
85,2798.26,1.64838,1.14382,1.17012,0.85709,0.8807,0.88987,0.46781,1.59719,1.0157,1.13898,0.00103288,0.00103288,0.00103288
