epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2623,2.40699,4.33651,1.29861,0.10472,0.54897,0.17705,0.06129,2.00049,3.59178,1.09249,0.000467827,0.000467827,0.000467827
2,43.6343,2.12736,2.81608,1.1785,0.44193,0.35185,0.38056,0.16167,2.04677,2.59477,1.14652,0.000934814,0.000934814,0.000934814
3,62.2972,2.06537,2.87095,1.18412,0.30391,0.62337,0.36243,0.13613,2.00156,2.12581,1.22363,0.00139237,0.00139237,0.00139237
4,80.495,2.04887,2.59961,1.19219,0.39041,0.62084,0.38933,0.15244,1.96907,2.0164,1.26507,0.00138656,0.00138656,0.00138656
5,98.1776,2.03681,2.44991,1.18493,0.39197,0.47255,0.35304,0.12816,2.0798,2.13554,1.25264,0.00137241,0.00137241,0.00137241
6,115.871,2.00913,2.25116,1.16721,0.46862,0.56686,0.42622,0.17784,1.92572,1.89325,1.18062,0.00135826,0.00135826,0.00135826
7,133.426,1.94777,2.19627,1.1562,0.48476,0.62844,0.45465,0.18232,2.00983,1.89211,1.22363,0.00134412,0.00134412,0.00134412
8,151.117,2.00246,2.15791,1.14291,0.44545,0.54631,0.48972,0.21201,1.95142,1.88189,1.18665,0.00132997,0.00132997,0.00132997
9,168.772,1.97468,2.06599,1.15503,0.53261,0.6328,0.53312,0.22692,1.89017,1.69331,1.16738,0.00131582,0.00131582,0.00131582
10,186.61,1.98429,2.11317,1.15494,0.51857,0.67208,0.56813,0.22141,2.02329,1.72661,1.22151,0.00130168,0.00130168,0.00130168
11,204.296,1.96727,1.94742,1.13682,0.60433,0.66364,0.65538,0.28654,1.93696,1.54058,1.15948,0.00128753,0.00128753,0.00128753
12,222.071,1.95775,1.88569,1.12848,0.63114,0.65838,0.60496,0.26845,1.90644,1.49122,1.16071,0.00127338,0.00127338,0.00127338
13,239.752,1.97367,1.83064,1.14574,0.62766,0.71112,0.65312,0.28994,1.89463,1.3923,1.16338,0.00125923,0.00125923,0.00125923
14,257.538,1.93109,1.81291,1.14454,0.53769,0.66598,0.58591,0.2438,1.94637,1.45612,1.19665,0.00124509,0.00124509,0.00124509
15,274.979,1.9532,1.85101,1.16278,0.59375,0.687,0.65262,0.29311,1.85587,1.3997,1.1666,0.00123094,0.00123094,0.00123094
16,292.68,1.94567,1.78347,1.15588,0.6082,0.66489,0.65552,0.29617,1.88497,1.4114,1.16676,0.00121679,0.00121679,0.00121679
17,310.339,1.91991,1.69614,1.14558,0.62557,0.69793,0.64767,0.26099,1.95134,1.38164,1.19449,0.00120265,0.00120265,0.00120265
18,327.912,1.92818,1.62947,1.13958,0.65245,0.73996,0.67432,0.29459,1.88546,1.35729,1.14306,0.0011885,0.0011885,0.0011885
19,345.455,1.92469,1.67405,1.13188,0.59316,0.7456,0.69261,0.30883,1.88974,1.34814,1.16571,0.00117435,0.00117435,0.00117435
20,362.77,1.94519,1.77988,1.16512,0.64114,0.73754,0.66774,0.29592,1.87504,1.3422,1.16906,0.00116021,0.00116021,0.00116021
21,380.522,1.91694,1.56979,1.14674,0.66719,0.76224,0.69797,0.29553,1.97744,1.31325,1.22887,0.00114606,0.00114606,0.00114606
22,398.096,1.96694,1.52255,1.14159,0.68413,0.76313,0.70846,0.32699,1.90354,1.26466,1.17082,0.00113191,0.00113191,0.00113191
23,415.584,1.93793,1.52617,1.163,0.66868,0.75988,0.70409,0.30053,1.92405,1.28042,1.20565,0.00111776,0.00111776,0.00111776
24,432.907,1.94008,1.48637,1.11772,0.66542,0.74378,0.68806,0.3208,1.92779,1.29455,1.1612,0.00110362,0.00110362,0.00110362
25,450.206,1.91157,1.46186,1.13147,0.64328,0.71771,0.67853,0.31512,1.86445,1.34261,1.13765,0.00108947,0.00108947,0.00108947
26,467.699,1.92448,1.49255,1.12239,0.66841,0.75128,0.67399,0.29552,1.9057,1.30345,1.15714,0.00107532,0.00107532,0.00107532
27,485.146,1.8894,1.44299,1.13283,0.60233,0.71881,0.59996,0.26989,1.84844,1.34663,1.15459,0.00106118,0.00106118,0.00106118
28,502.433,1.88115,1.47388,1.13274,0.71459,0.77114,0.71457,0.33182,1.87566,1.22486,1.14252,0.00104703,0.00104703,0.00104703
29,519.6,1.87986,1.42264,1.1207,0.6662,0.73738,0.69581,0.31811,1.85778,1.32848,1.14646,0.00103288,0.00103288,0.00103288
30,536.941,1.87854,1.41726,1.12599,0.71045,0.74902,0.71688,0.32782,1.87057,1.22292,1.16104,0.00101873,0.00101873,0.00101873
31,554.45,1.89124,1.42491,1.12814,0.68059,0.73505,0.7042,0.32182,1.86193,1.24408,1.15546,0.00100459,0.00100459,0.00100459
32,572.084,1.91484,1.40433,1.13652,0.69605,0.75518,0.698,0.32603,1.85853,1.23602,1.15669,0.00099044,0.00099044,0.00099044
33,589.332,1.89006,1.38305,1.13084,0.70383,0.77364,0.73774,0.33997,1.89026,1.21151,1.14983,0.000976293,0.000976293,0.000976293
34,607.063,1.88487,1.44009,1.13017,0.69036,0.7376,0.70904,0.30879,1.894,1.26727,1.16578,0.000962146,0.000962146,0.000962146
35,624.336,1.87573,1.35816,1.12334,0.70662,0.75192,0.70527,0.32175,1.88786,1.25162,1.16682,0.000947999,0.000947999,0.000947999
36,642.056,1.89599,1.35358,1.12558,0.64969,0.72527,0.69176,0.32292,1.87373,1.28575,1.14769,0.000933851,0.000933851,0.000933851
37,659.728,1.89973,1.4128,1.1159,0.6455,0.72667,0.66966,0.26803,1.91113,1.33784,1.17394,0.000919704,0.000919704,0.000919704
38,677.354,1.86457,1.36066,1.11388,0.67571,0.73728,0.69839,0.3134,1.88015,1.28016,1.16455,0.000905557,0.000905557,0.000905557
39,694.817,1.86073,1.34666,1.13849,0.73054,0.73891,0.72547,0.33927,1.8788,1.22356,1.15536,0.00089141,0.00089141,0.00089141
40,712.179,1.88589,1.30786,1.12264,0.67064,0.77725,0.72067,0.32942,1.86534,1.22603,1.13685,0.000877263,0.000877263,0.000877263
41,729.705,1.88876,1.29735,1.11049,0.69474,0.79739,0.74042,0.32821,1.8835,1.21315,1.15462,0.000863116,0.000863116,0.000863116
42,747.188,1.86163,1.25176,1.09943,0.7192,0.74463,0.72039,0.33096,1.87403,1.21185,1.1469,0.000848969,0.000848969,0.000848969
43,764.959,1.87779,1.27078,1.11705,0.70428,0.75098,0.72701,0.33174,1.89892,1.22295,1.16151,0.000834822,0.000834822,0.000834822
44,782.478,1.86489,1.29305,1.0986,0.65866,0.71683,0.66342,0.31,1.92279,1.28818,1.14257,0.000820675,0.000820675,0.000820675
45,799.604,1.83589,1.26463,1.11737,0.70653,0.758,0.7179,0.33193,1.90573,1.20422,1.1571,0.000806528,0.000806528,0.000806528
46,816.953,1.85831,1.23492,1.12146,0.7126,0.74894,0.70613,0.33047,1.87993,1.2056,1.15394,0.00079238,0.00079238,0.00079238
47,834.341,1.85893,1.23202,1.10376,0.75098,0.75928,0.74163,0.35754,1.86194,1.15083,1.13936,0.000778233,0.000778233,0.000778233
48,851.885,1.83606,1.2528,1.1044,0.74046,0.78838,0.74658,0.35432,1.84469,1.16336,1.13627,0.000764086,0.000764086,0.000764086
49,869.41,1.84504,1.21284,1.10299,0.74064,0.79595,0.74559,0.34072,1.90173,1.17768,1.15071,0.000749939,0.000749939,0.000749939
50,887.073,1.82268,1.22169,1.10648,0.70216,0.78704,0.73751,0.34946,1.89456,1.18554,1.14554,0.000735792,0.000735792,0.000735792
51,905.263,1.85495,1.24841,1.11979,0.71464,0.77127,0.73139,0.34015,1.86797,1.17321,1.13401,0.000721645,0.000721645,0.000721645
