epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.5858,2.29379,5.37315,1.40621,0.47146,0.32789,0.3545,0.14401,1.95473,2.98811,1.247,0.00047208,0.00047208,0.00047208
2,73.8738,2.02225,3.53197,1.27596,0.31782,0.63656,0.42376,0.17306,1.95,2.21736,1.31611,0.000939024,0.000939024,0.000939024
3,110.2,1.97839,3.30919,1.26593,0.32189,0.70628,0.40116,0.15371,1.95824,2.39855,1.35878,0.00139654,0.00139654,0.00139654
4,145.336,2.007,3.1027,1.29473,0.35971,0.65161,0.40029,0.16904,1.93898,2.1997,1.344,0.00138656,0.00138656,0.00138656
5,179.56,1.96374,3.00049,1.27747,0.48562,0.54576,0.49272,0.20604,1.91859,2.012,1.30642,0.00137241,0.00137241,0.00137241
6,213.551,1.9639,3.15724,1.29629,0.42195,0.63699,0.46634,0.19635,1.88359,2.04493,1.33174,0.00135826,0.00135826,0.00135826
7,247.3,1.94018,2.77427,1.2569,0.54957,0.6277,0.54503,0.21902,1.94703,1.97163,1.30776,0.00134412,0.00134412,0.00134412
8,281.451,1.99163,2.67147,1.2435,0.51241,0.65571,0.53002,0.23098,1.91686,2.02309,1.29931,0.00132997,0.00132997,0.00132997
9,315.32,1.93716,2.56695,1.2662,0.49856,0.68606,0.57379,0.25106,1.90593,1.86164,1.28848,0.00131582,0.00131582,0.00131582
10,348.81,1.9126,2.4919,1.25265,0.57177,0.6299,0.60109,0.26433,1.88692,1.78456,1.26941,0.00130168,0.00130168,0.00130168
11,382.316,1.9606,2.46458,1.24733,0.508,0.5485,0.45084,0.18858,1.87371,1.74998,1.27503,0.00128753,0.00128753,0.00128753
12,415.903,1.91686,2.32302,1.25179,0.59556,0.67607,0.63651,0.28922,1.8893,1.55749,1.27014,0.00127338,0.00127338,0.00127338
13,449.182,1.92226,2.17707,1.23919,0.64422,0.69585,0.63947,0.27058,1.94353,1.5331,1.27607,0.00125923,0.00125923,0.00125923
14,482.589,1.93476,2.35223,1.22105,0.57378,0.67018,0.57665,0.24272,1.86175,1.45446,1.23873,0.00124509,0.00124509,0.00124509
15,515.382,1.9324,2.22188,1.24831,0.59094,0.62506,0.59381,0.25655,1.88626,1.51617,1.289,0.00123094,0.00123094,0.00123094
16,548.214,1.94023,2.10033,1.27135,0.57578,0.64665,0.6292,0.27152,1.90484,1.62963,1.287,0.00121679,0.00121679,0.00121679
17,580.704,1.92697,2.26645,1.24732,0.49118,0.68761,0.53047,0.23227,1.83844,1.54199,1.22231,0.00120265,0.00120265,0.00120265
18,613.439,1.84941,1.98058,1.24685,0.53726,0.66483,0.58411,0.26295,1.86971,1.50089,1.28737,0.0011885,0.0011885,0.0011885
19,646.06,1.89834,1.83351,1.23644,0.61455,0.64911,0.62792,0.28385,1.87228,1.41112,1.26233,0.00117435,0.00117435,0.00117435
20,678.476,1.8797,1.86191,1.24246,0.62171,0.67278,0.61811,0.27314,1.87299,1.39512,1.26456,0.00116021,0.00116021,0.00116021
21,711.018,1.9446,1.93322,1.24358,0.60704,0.7056,0.65726,0.27287,1.9148,1.43,1.28252,0.00114606,0.00114606,0.00114606
22,743.221,1.87893,1.79659,1.22276,0.69719,0.73294,0.6938,0.31685,1.86295,1.29732,1.25214,0.00113191,0.00113191,0.00113191
23,775.446,1.90455,1.84479,1.25922,0.64617,0.75004,0.68567,0.32099,1.83515,1.31515,1.23577,0.00111776,0.00111776,0.00111776
24,807.761,1.86313,1.71585,1.22409,0.61875,0.68729,0.64319,0.3014,1.84428,1.41618,1.23526,0.00110362,0.00110362,0.00110362
25,839.985,1.87698,1.6637,1.21722,0.63423,0.70485,0.68941,0.30698,1.8411,1.34573,1.20175,0.00108947,0.00108947,0.00108947
26,872.442,1.86873,1.64723,1.21914,0.54182,0.72598,0.53395,0.22312,1.92292,1.45211,1.2633,0.00107532,0.00107532,0.00107532
27,904.683,1.85024,1.56903,1.2276,0.63719,0.71894,0.64839,0.2885,1.89596,1.34578,1.27209,0.00106118,0.00106118,0.00106118
28,936.869,1.87417,1.63033,1.23215,0.68983,0.75584,0.71843,0.34113,1.83628,1.27254,1.21849,0.00104703,0.00104703,0.00104703
29,968.981,1.89335,1.59068,1.23351,0.66049,0.71647,0.7035,0.32783,1.88188,1.3577,1.24281,0.00103288,0.00103288,0.00103288
30,1001.18,1.84157,1.57581,1.20636,0.73518,0.79202,0.72443,0.33127,1.86394,1.22374,1.25312,0.00101873,0.00101873,0.00101873
31,1033.5,1.88306,1.50683,1.2351,0.64991,0.7713,0.69592,0.31785,1.81128,1.30118,1.23518,0.00100459,0.00100459,0.00100459
32,1065.69,1.90519,1.58577,1.22961,0.69305,0.7658,0.72974,0.34514,1.89548,1.23318,1.24465,0.00099044,0.00099044,0.00099044
33,1097.84,1.85047,1.49178,1.21949,0.67217,0.76746,0.70678,0.34232,1.82785,1.26987,1.20034,0.000976293,0.000976293,0.000976293
34,1130.09,1.83223,1.52853,1.20209,0.70103,0.7431,0.70281,0.32204,1.84448,1.26886,1.22556,0.000962146,0.000962146,0.000962146
35,1162.34,1.89257,1.57244,1.24787,0.64859,0.71148,0.62258,0.27903,1.88652,1.3377,1.26159,0.000947999,0.000947999,0.000947999
36,1194.54,1.85003,1.4515,1.2245,0.69377,0.72506,0.69683,0.30116,1.87252,1.32163,1.24722,0.000933851,0.000933851,0.000933851
37,1226.89,1.86543,1.43541,1.19085,0.67585,0.74178,0.71032,0.33512,1.85669,1.27656,1.21913,0.000919704,0.000919704,0.000919704
