epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,419.211,1.90755,1.22695,1.03914,0.68771,0.78282,0.70537,0.32031,1.92666,1.23654,1.05686,0.000848969,0.000848969,0.000848969
43,429.016,1.86544,1.22901,1.04596,0.69797,0.78075,0.71244,0.31643,1.9362,1.20393,1.06819,0.000834822,0.000834822,0.000834822
44,438.684,1.8983,1.2231,1.03908,0.71677,0.77788,0.71842,0.30993,2.02633,1.16441,1.09993,0.000820675,0.000820675,0.000820675
45,448.362,1.90647,1.18155,1.04753,0.69284,0.73053,0.68691,0.30994,1.95014,1.20617,1.06685,0.000806528,0.000806528,0.000806528
46,458.315,1.89508,1.1824,1.05461,0.69286,0.74134,0.6906,0.30257,2.07115,1.18274,1.11539,0.00079238,0.00079238,0.00079238
47,468.213,1.88327,1.20884,1.03318,0.70394,0.77125,0.72477,0.30964,1.96747,1.15113,1.07039,0.000778233,0.000778233,0.000778233
48,477.962,1.88201,1.16487,1.03423,0.70042,0.81118,0.72011,0.32388,1.95118,1.15072,1.05736,0.000764086,0.000764086,0.000764086
49,487.815,1.91768,1.18221,1.0393,0.70234,0.76784,0.70999,0.31316,1.95055,1.17627,1.06662,0.000749939,0.000749939,0.000749939
50,497.482,1.88168,1.17319,1.03789,0.718,0.79595,0.72029,0.31301,1.95335,1.14288,1.07406,0.000735792,0.000735792,0.000735792
51,507.267,1.87443,1.1676,1.04836,0.68602,0.76257,0.70219,0.32142,1.95899,1.17815,1.06869,0.000721645,0.000721645,0.000721645
52,517.225,1.87621,1.12754,1.0192,0.65247,0.72216,0.65051,0.30078,1.93631,1.23664,1.0541,0.000707498,0.000707498,0.000707498
53,527.028,1.83756,1.12865,1.04122,0.69925,0.77864,0.71375,0.32921,1.94779,1.13946,1.05884,0.000693351,0.000693351,0.000693351
54,536.783,1.85629,1.1515,1.03169,0.67891,0.77432,0.70428,0.32552,1.9662,1.179,1.0637,0.000679204,0.000679204,0.000679204
55,546.852,1.89431,1.14414,1.03931,0.66227,0.77989,0.68716,0.29856,2.01345,1.20298,1.06969,0.000665057,0.000665057,0.000665057
56,556.62,1.88723,1.15869,1.04297,0.66813,0.77882,0.7135,0.32809,1.95989,1.17265,1.06925,0.000650909,0.000650909,0.000650909
57,566.317,1.86213,1.11884,1.03636,0.71552,0.75151,0.71492,0.33276,1.96039,1.1768,1.06216,0.000636762,0.000636762,0.000636762
58,575.923,1.84665,1.12451,1.02996,0.72114,0.76663,0.72068,0.33758,1.93195,1.1646,1.06145,0.000622615,0.000622615,0.000622615
59,586.023,1.86472,1.1279,1.01063,0.70279,0.78584,0.73103,0.33158,1.95176,1.16183,1.05884,0.000608468,0.000608468,0.000608468
60,596.028,1.91196,1.1476,1.02623,0.70332,0.78384,0.71888,0.32296,1.93621,1.16435,1.05086,0.000594321,0.000594321,0.000594321
61,605.916,1.83035,1.09578,1.01147,0.71213,0.81614,0.73115,0.33496,1.9336,1.11215,1.05511,0.000580174,0.000580174,0.000580174
62,615.781,1.83465,1.11732,1.03106,0.71574,0.81895,0.73944,0.34485,1.92751,1.10422,1.05295,0.000566027,0.000566027,0.000566027
63,625.822,1.86052,1.11138,1.02636,0.68833,0.81223,0.72968,0.33723,1.92722,1.11475,1.0554,0.00055188,0.00055188,0.00055188
64,635.777,1.88931,1.12505,1.03921,0.71083,0.79154,0.73421,0.33861,1.95333,1.11107,1.06507,0.000537733,0.000537733,0.000537733
65,645.559,1.8545,1.08171,1.01844,0.70571,0.76675,0.72511,0.33143,1.96285,1.15229,1.07067,0.000523586,0.000523586,0.000523586
66,655.42,1.86992,1.1412,1.0336,0.70754,0.79708,0.73154,0.3291,1.94812,1.13479,1.06978,0.000509438,0.000509438,0.000509438
67,665.302,1.8625,1.1247,1.01305,0.70353,0.73744,0.693,0.30628,1.97028,1.20213,1.07696,0.000495291,0.000495291,0.000495291
68,674.77,1.83269,1.06952,1.02857,0.69899,0.75491,0.71546,0.33195,1.95665,1.1753,1.06497,0.000481144,0.000481144,0.000481144
69,684.542,1.84406,1.09031,1.03931,0.70488,0.75697,0.70466,0.3128,1.97991,1.1661,1.08133,0.000466997,0.000466997,0.000466997
70,694.59,1.85469,1.08508,1.01579,0.71179,0.80496,0.75057,0.34373,1.9706,1.13675,1.0725,0.00045285,0.00045285,0.00045285
71,704.503,1.81602,1.06366,1.02598,0.71713,0.79885,0.74888,0.34073,1.95858,1.11684,1.06513,0.000438703,0.000438703,0.000438703
72,715.043,1.82825,1.07234,1.03674,0.72181,0.82367,0.75347,0.35158,1.93484,1.08089,1.05705,0.000424556,0.000424556,0.000424556
73,725.428,1.84242,1.08296,1.02879,0.71704,0.80146,0.73808,0.33942,1.95744,1.11019,1.05887,0.000410409,0.000410409,0.000410409
74,735.403,1.84941,1.05087,1.01152,0.74167,0.77867,0.74567,0.34655,1.92081,1.09537,1.04797,0.000396262,0.000396262,0.000396262
75,745.593,1.83732,1.0615,1.01923,0.71148,0.77102,0.71931,0.32661,1.97797,1.12622,1.0648,0.000382115,0.000382115,0.000382115
76,755.548,1.8259,1.0474,1.00673,0.73947,0.80127,0.75445,0.34713,1.94799,1.10046,1.05404,0.000367967,0.000367967,0.000367967
77,765.367,1.85402,1.04472,1.01603,0.72176,0.7852,0.73705,0.34,1.93745,1.10885,1.05285,0.00035382,0.00035382,0.00035382
78,775.388,1.83082,1.04283,1.00926,0.71852,0.77096,0.733,0.33757,1.96198,1.10113,1.06143,0.000339673,0.000339673,0.000339673
79,785.116,1.78629,1.00816,1.02601,0.72879,0.81259,0.75571,0.35318,1.94695,1.07166,1.05349,0.000325526,0.000325526,0.000325526
80,795.037,1.83683,1.02914,1.02518,0.70446,0.80651,0.74235,0.34111,1.96099,1.09217,1.06065,0.000311379,0.000311379,0.000311379
81,805.034,1.83255,1.03526,1.00627,0.7257,0.80329,0.74369,0.35169,1.93979,1.0908,1.0575,0.000297232,0.000297232,0.000297232
82,815.247,1.84083,1.06282,1.02279,0.7128,0.81691,0.73946,0.3421,1.95435,1.08786,1.0629,0.000283085,0.000283085,0.000283085
83,825.303,1.81892,1.06086,1.02443,0.72224,0.80681,0.74565,0.34596,1.94839,1.09338,1.06107,0.000268938,0.000268938,0.000268938
84,834.883,1.80562,1.03978,1.03739,0.7267,0.81199,0.74963,0.34942,1.94889,1.10034,1.0572,0.000254791,0.000254791,0.000254791
85,844.853,1.79707,1.04807,1.01317,0.71517,0.78562,0.7436,0.34245,1.97039,1.11331,1.06559,0.000240644,0.000240644,0.000240644
86,854.668,1.75759,0.99808,1.0265,0.72227,0.7927,0.75638,0.35172,1.93518,1.08555,1.05855,0.000226497,0.000226497,0.000226497
87,864.699,1.78682,1.01576,1.01267,0.72144,0.78362,0.73894,0.34301,1.94125,1.09461,1.05336,0.000212349,0.000212349,0.000212349
88,874.782,1.84073,1.02617,1.02052,0.69567,0.79826,0.7411,0.34183,1.9557,1.08184,1.05694,0.000198202,0.000198202,0.000198202
89,884.906,1.83104,1.01863,1.00481,0.72874,0.80159,0.74512,0.33742,1.95324,1.08275,1.05523,0.000184055,0.000184055,0.000184055
90,894.698,1.78219,1.01293,1.01763,0.69509,0.82405,0.74228,0.33611,1.94222,1.10055,1.05336,0.000169908,0.000169908,0.000169908
91,908.841,1.77254,1.06472,1.03266,0.70984,0.80383,0.74738,0.34261,1.96146,1.08939,1.05758,0.000155761,0.000155761,0.000155761
92,918.52,1.77689,1.03727,1.04723,0.70673,0.81208,0.75996,0.35388,1.95345,1.07002,1.05712,0.000141614,0.000141614,0.000141614
93,928.063,1.79275,1.04636,1.03583,0.71742,0.80055,0.75295,0.35107,1.9519,1.07226,1.05464,0.000127467,0.000127467,0.000127467
94,937.4,1.779,1.02283,1.03346,0.7157,0.8155,0.7551,0.35815,1.94809,1.0725,1.05522,0.00011332,0.00011332,0.00011332
95,946.816,1.77049,1.00739,1.03011,0.71218,0.83366,0.76302,0.35588,1.93839,1.07592,1.05579,9.91726e-05,9.91726e-05,9.91726e-05
96,956.268,1.74939,1.00169,1.02735,0.71767,0.81663,0.75931,0.35585,1.95045,1.08079,1.05684,8.50255e-05,8.50255e-05,8.50255e-05
97,965.762,1.747,1.00156,1.0271,0.71874,0.81602,0.7613,0.3512,1.95045,1.07085,1.05748,7.08784e-05,7.08784e-05,7.08784e-05
98,975.38,1.77142,1.01279,1.01884,0.73601,0.8097,0.76572,0.35433,1.95146,1.06422,1.05652,5.67313e-05,5.67313e-05,5.67313e-05
99,984.859,1.76664,1.01593,1.03154,0.73296,0.80939,0.76636,0.35493,1.9535,1.0626,1.05666,4.25842e-05,4.25842e-05,4.25842e-05
100,994.39,1.73872,0.99027,1.02877,0.73247,0.80869,0.76797,0.35709,1.95209,1.05988,1.05594,2.84371e-05,2.84371e-05,2.84371e-05
